DR,NARRATIVE,CRIMETYPE
121013180,UNK SUSPS USED UNK TOOL TO PRY OPEN DRVR SIDE DR OPEN UNK SUSPS THEN REMOVED V PROP FROM VEH AND FLED IN AN UNK DIR OR LOC,BTFV
100517507,SUSP ENTERED BUS POINTED A BLK S/A H/G AT WIT1 & STATED GIVE ME ALL YOUR MONEY OR I WILL SHOT YOU SUSP TOOK PROP & FLED,Robbery
92117936,SUSP TOOK VICTS KEYS FROM RESIDENCE AND DROVE VICTS VEH WITHOUT THE VICTS CONSENT,Grand Theft Auto 
90500772,FEMALE SUSPECTS ENTERED BUSINESS TAKING 12 CANS OF ALCOHOL FLEEING IN UNK DIR SUSP TWO DISTRACTED STORE OWNER SUSP THREE REMAINED IN THE CAR,THEFT
121711440,S ENTERED STORE  REMOVED AND CONCEALED ITEMS THEN EXITED WITHOUT PAYINGFOR ITEMS,THEFT
91708015,UNK S OPENED UNLOCKED VEH AND REMOVED V LAPTOP AND OTHER PROP,BTFV
110512701,VICT RETURNED TO VEH & FOUND DRIVER SIDE DOOR PUNCHED OUT. VICT'S PROP TAKEN  ECLIPSE GPS OTH GPS BLUE STEEL HANDGUN TAKEN,BTFV
91919316,V DISCOVERED HIS STOLEN VEH V FOUND PROP MISSING,Grand Theft Auto 
120909231, UNK SUSP GRABBED VICTS BACKPACK WITH LAPTOP OFF PARK BENCH WHILE VICT WAS TURNED AWAY,THEFT
121211680,UNK S BROKE V VEH REAR SIDE WINDOW AND REMOVED V PROP,BTFV
90501280,DEFT ACQUIRED VICTS PROP AND KEPT IT ON HIS PERSON FOR PERSONAL USE WITHOUT ATT TO CONTACT VICT,THEFT
122110641,V LEFT VEH UNLOCKED UNK S REMOVED PROP FROM VEH AND FLED IN AN UNK DIR,BTFV
140316096,UNK SUSP PRIED OPEN VICTS RES WINDOW ENTERED REMOVED PROP AND FLED THROUGH REAR DOOR,BURG
121806455, S APPORACHED V FRM BEHIND AND FORCILBY TOOK V CELL PHNE FROM HER HAND S FLED INTO A WAITING VEH,Robbery
141304537,SUSP UTILIZED VICTS CREDIT CARD TO PURCHASE PREPAID CASH CARDS WITHOUT VICTS AUTHORIZATION SUSP NO LONGER EMPLOYED BY VICT,THEFT
90718585, S ENTERED STORE AND SWICHED THE TAGS WITH HIGHER PRICED CLOTHING FOR LOWER PRICED CLOTHING S THEN PAID,THEFT
100112286,UNK SUSPS APPR VICT FR BEHIND SUSP1 ATTEMPT TO TAKE VICT PROP SUSP1    STABBED VICT SUSP1 VERBALLY THREATENED VIT SUSPS FLED ON FOOT,Robbery
120504425,SUSP REMOVED VICT'S PAD LOCK OPENED GARAGE DOOR ENTERED & REMOVED VICT'S PROP DRILLS GAS POWERED CAR SPEAKER & SPEAKER BOX AMP MOTOR,BURG
131517480,RFC  S ENTRD STORE WALKEDT O MEAT DEPT AND ORDER BEEF S EXITED STORE   WITHOUT PAYING,THEFT
111717861,UNK S CALLED V N STATED  I NEED U TO WIRE 4400 DOLLARS  YR GRANDSON WASINV IN ACCIDENT I NEED THE MONEY TO KEEP HIM FROM GOING TO COURT  V SENT MONEY,THEFT
131204145,UNK SUSPS ENTERED LOCKED GARAGE USING UNKTYPE PRY TOOL REMOVED VICTS   PROP AND FLED LOC WITH PROP IN UNK DIRECTION,BURG
92007207,S GAIN ENTRY TO ROOM CUTTING SCREEN AND SMASHING WINDOW S RMVD PA SOUNDEQUIPMENT FROM MUSIC STORAGE ROOM EXITING THROUGH HOLE IN FENCE FLED IN UNK DIR,BURG
121924272,UNK SUSP USED UNK TOOL TO BREAK THE LOCK OF VICTS STORAGE UNIT AND GAINED ACCESS  SUSP THEN TOOK VICTS PROP AND FLED IN UNK DIRECTION,BURG
131814455,UNK SUSP CUT SECURITY BARS ON VICT FRONT WINDOW UNK SUSP THEN ENTER ANDREMOVED PROP SUSP THEN FLED THROUGH UNK POE,BURG
121910413,SUSP ATTEMPTED TO TAKE VICTS VEH BUT STOPPED WHEN VICT CONFRONTED SUSP SUSP FLED WB ON HUBBARD TOWARDS GLENOAKS,Grand Theft Auto 
110915629, VICT STATED THAT HER BAG WAS STOLEN FROM HER APT  VICT BELIEVES HER ROOMMATE MAY HAVE TAKEN IT  NO SIGNS OF FORCED ENTRY,THEFT
140105285,UNK SUSP USED METAL WATER METER COVER TO SMASH PASSENGER WINDOW OF     VICTS VEH  UNK SUSP THEN ENTERED VICTS VEH AND REMOVED PROP,BTFV
130504350,INK S USED UNK OBJ TO SMASH SIDE WINDOW OF VICTS RESD RANSACKED LOC ANDFLED WITH VICTS PROP.PROP TAKENPASSPORTSCHECKBOOKSJEWLERYTRAV CHECKSLAPTOP,BURG
90204904,S AND V ARGUED S BECAME ANGRY AND STABBED V ON HIS BACK APPROX 6 TIMES WITH A KNIFE,Aggravated Assault  
141913564,UNK S PUSHED DOWN THE REAR WINDOW OF V VEH S ENTERED TOOK PROP AND    FLED,BTFV
130206280,V AND S INVOLVED IN VERBAL DISPUTE S BECOMES ANGERED AND DREW KNIFE TO V THROAT V IN FEAR RUNS TO BEDROOM S FLED LOC,Aggravated Assault  
141712125,S CUT LOCKS FROM OUTDOOR REFRIGERATOR AT ELKS LODGE  S REMOVED SIX KEGSOF BEER THEN FLED LOC,THEFT
91822714,SUSP ON BIKE BRANDISHED SEMI AUTO HANDGUN AND RobberyED M HISP,Robbery
140308731,S1 ENTER LOC CONCEALED MERCHANDISE IN TOTE BAGS S1 EXITED AND FAILED TOPAY FOR MERCCHANDISE,THEFT
90624505,TWO SUSPS IN CHP CUSTODY STOLE VICS TRACTOR TRAILOR COMBO OFF CITY STREET FROM HWD DIVISION IN TC AT 10 AND 57 FWY LATER ON TODAYS DATE STOLEN VEH RPT,Grand Theft Auto 
91327468,3 SUSPS APP VICT PULLED HER HAIR AND STARTED TO STRIKE V W CLOSED FIST AND KICKING HER  SUSPS THEN RMVD V PROP,Robbery
140911715,SUSP ENTERED LOC WITH SCREWDRIVER SUSP TOOK CLOTHING AND FLED TO MACYS WHERE SHE WAS ARRESTED BY MACYS LOSS PREVENTION,THEFT
100922091,SUSP USED UNK CALIBER HANDGUN TO SHOOT VICT  VICT WAS HIT APPROX TWO   TIMES,Aggravated Assault  
110513872,UNK SUSP BROKE INTO VICTS VEH USING POSS SLIM JIM & REMOVED VICTS PROP REMOVED STEREO & CDS,BTFV
90920742,V1 LT PROP UNATTENDEDSUS RMVD PROP WO VIC CONSENT,THEFT
131104204,S GAINED ENTRY INTO VS RESID RANSACKED LOC AND REMOVED VS PROP  THEN S FLED LOC,BURG
110513506,UNK SUSP ENTERED LOCATION & REMOVED PROP REMOVED TOSHIBA LAPTOP CAMERA BLKBERRY MONEY 1 POUND ARTILLERY SHELL WWL FRENCH ARTILLERY 6 INERT,BURG
131410869,V PRKD HER VEH IN PRKNG LOT WHEN V RTND TO VEH DSCVRD ITEMS WERE MSNG  NO SUSPS SEEN S LFT W V PROP IN UNK DIR,BTFV
111315947,SUSP AND VICT BECAME INV IN AN ARGUMENT SUSP STRUCK VICT IN HAND WITH  A METAL PIPE,Aggravated Assault  
140705777,VICT WAS UNLOADING TRUNK OF HER VEH VICT LEFT PROP ON SIDEWALK WHILE   SHE WENT TO DRIVER SIDE OF HER VEH RETURNED TO FIND HER PROP MISSING,THEFT
111808655,VICT WHILE WAITING IN FAST FOOD DRIVE THROUGH WAS APPROACH BY SUSP AND OPEN PASS WIND S SNATCHED V ABV PROP AND FLED,THEFT
132009351,UNK S MADE ENTRY INTO V UNLOCKED VEH REMOVED V PROP FLED TO UNK LOC THERE WAS NO EVID OF FORCED ENTRY ON V VEH,BTFV
121311659, S1 AND S2 EXITED S VEH AND FIRED SEVRL RNDS AT V1 THRU V3 GAZING V1 ONTHE RT ARM,Aggravated Assault  
101018359,UNK SUSPS STOLE VICTS JEWELRY FROM UNSECURED BEDROOM DRAWER,THEFT
121908324,UNK SUSP PRIED FRONT DOOR AND ENTERED VEH  SUSP REMOVED PROP AND FLED  UNKNOWN DIRECTION TAKING PROP,BTFV
131109874,S TOOK VEH FROM WIT N NEARLY STRUCK HIM AS HE FLED W PROP,Grand Theft Auto 
140112976,SUSP ENTERED STORE CONCEALED PROPERTY AND EXITED PAYING,THEFT
90804532,UNK SUSP USED A UNK HARD OBJ TO SMASH OPEN VICTS VEH RIGHT PASS DOOR   WINDOW SUSP ENTD VEH REMOVED PROPERTY AND FLED LOCATION,BTFV
110518087,UNK SUSP REMOVED PROP OFF VICT'S TRAILER W/O PERMISSION. SUSP FLED IN UNK DIRECTION  GENERATOR(HONDA),BTFV
91504071,SUSPS APPRO VICT AND WIT FROM BEHIND SUSP 2 BRANDISHED KNIFE AT VICT   AND DEMANDED PROP SUSP 3 STOOD BY SUSPS FLED W PROP IN SUSP VEH IN UNK DIR,Robbery
101710055,S UNBOLTED SIDE GATE AND SMASHED WINDOW TO GAIN ENTRY  S GRABBED PROP  AND FLED LOC,BURG
111508295,LOJACK HIT OFCS LOC VEH AND OBS SUSP SITTING IN DRIVERS SEAT,Grand Theft Auto 
131912360,UNK SUSPECT USED UNK TOOL TO SMASH THE RIGHT REAR WINDOW OF THE V VEH  S STOLE BAG,BTFV
101307339, S ENTERED V VEH THROUGH DRVR DOOR S BROKE STEERING COLU ATTEMP TO TAKEV VEH S THEN FLED FROM THE AREA IN UNK LOC  WITH V PROP,Grand Theft Auto 
141807630,S AND V IN VERBAL ARGUMENT S ENRAGED POURED LIGHTER FLUID ON VICT AND ATT TO LIGHT V ON FIRE W LIGHTER,Aggravated Assault  
92011949,S1 AND S2 PULLD UP ALONGSIDE VICT S1 EXITED VEH AND PLACED UNK SHARP OBJ TO VICTS SIDE AND DEMANDED MON VICT TOOK OUT WAL AND S1 TOOK WAL AND PUNCHD V,Robbery
110512393,SUSP APPRD VICT DEMANDED VICTS WALLET WHEN VICT REFUSED SUSP PRODUCED A POCKET KNIFE & SWING IT AT VICT MULTIPLE TIMES CAUSING LACERATION TO VICTS ARM,Robbery
91821352,UNK S PRIED OPEN SIDE BEDRM WINDOW TO GAIN ENTRY S ENTERED LOC AND REMOVED PROP S FLED THRU SIDE DOOR WITH PROPERTY TO UNK LOC,BURG
111108559,UNK SUSP TAMPERED WITH DOOR LOCK BUT WAS UNABLE TO GAIN ENTRY,BURG
92018866, VICTS VEH WAS STOLEN 081309 AND RECOVERED ON 081309 AT APPROX 2000 HRSVICT RETRIEVED THE RECOVERED VEH FROM TOW 0N 081409 UPON CONDUCTING INVENTORY V,Grand Theft Auto 
132013092,S EXIT VEH APPROACHES V VEH PUNCTURES TIRE STRIKE FRONT HOOD AND WINSHIELD STRIKES V FOREARM AND HIP FLEES SCENE,Aggravated Assault  
111221642,V WAS WALKING WHEN S APP V AND STRUCK V ON THE NOSE WITH A BOTTLE  S SAID WHAT NOW BITCH AND RAN FROM LOC,Aggravated Assault  
121816628,SUSP ENTERED THE RESID VIA AN UNLOCK BEDR WINDOW S EXITED THE REISD    FRONT DOOR NO PROP TAKEN SUSP IS HACIENDA VILLAGE BLOOD,BURG
121304680,VICT AND SUSPS WERE INV IN A VERBAL ARGUMENT VICT WAS DISTRACTED BY    ARGUING WITH SUSP 2 SUSP 1 RETRIEVED FISHING POLE AND STRUCK VICT IN THE HEAD,Aggravated Assault  
131812864,SUSPS APPROACH VICT AND BEGAN TO FIGHT WITH VICT FRIENDS SUSP1 THEN    TOOK VICT CHAIN AND FLED THE LOC SUSP IS 38TH STREET,Robbery
110817959,UNKN SUSP REMVD V PROP FROM V RESD WITHOUT PERMISSION,THEFT
140114403,SUSP SELECTED ITEMS FROM SHELVES CONCEALED ITEMS IN BAG AND EXITED     STORE MAKING NO ATTEMPT TO PAY FOR ITEMS,THEFT
91616327,SUSPS UNLCKD VIC VEH WITH UNK TOOL TO GAIN ENTRY  SUSPS REMVD VIC PROP FROM VEH AND FLED TO UNK LOC,BTFV
131306452,S ENT V VEH RMVD PROP THEN FLED LOC  S1 IS ARRESTED AND S2 IS STILL    OUTSTANDING,BTFV
91200838,S ENTER STORE TOOK PROP THEN PUSH V OUT THE STORE S THEN FORCE V INTOHHIS VEH AND DROVE OFF S POINT PISTOL AT V THEN STOP VEH PULL V FROM VEH AND FLED,Robbery
111213965,S AND V IN VERBAL DISPUTE WITH V S HIT V ON THE LEFT SIDE OF FACE SFLEDFROM LOC IN UNK DIR,Aggravated Assault  
122020693,SUSPS APPROACHED VIC SUS1 AND SUS2 POINTED GUNS AT VIC SUS1 PUSHED VIC TO GROUND REMOVED VIC PROP THEN FLED IN VIC VEH,Robbery
110316188,S1 ENTERED CITY OWNED BAIT CAR WO PERMISSION AND DROVE AWAY IN VEH,Grand Theft Auto 
101211347,UNK S PRIED OPEN REAR SECURITY DOOR AND SMASHED FORCED OPEN WOODEN DOORUNK S THEN RUMMAGED THROUGHOUT RESID UNK S THEN REMOVED V PROP AND FLED,BURG
121918002,UNK SUSPS SMASHED VIC VEH WINDOW TO GAIN ENTRY  SUSP REMVD VIC         METHADONE AND PUNCHED VIC VEH IGNITION  SUSP FLED LOC IN UNK DIRECTION,Grand Theft Auto 
101230612, UNK S ENTERED V HOTEL ROOM AND TOOK V PROP AND FLED LOC WITH V PROP,THEFT
111229219,DEFT AND S1 APPR V WHO WAS IN HIS SHOP DEFT POINTED A KNIFE AND DEMANDED MONEY S1 SNATCHED V CHAIN AND FLED SUSP GANG MBR,Robbery
90618622,S2 DISTRACTED V  S1 TACKLED V TO GROUND STUCK POSSIBLE HANDGUN TO VICTSLOWER BACK AREA AND TOOK VICTS PROP  S1 AND S2 FLED SCENE ON FOOT,Robbery
111111253,UNK SUSP SMASHED VICT VEH WINDOW AND WENT THRU VICTS PURSE,BTFV
131422437,UNK SUSP SMASHED LT SIDE OF RR DOOR GLASS WINDOW TO VIC VEH UNK SUSP   ENTERED VEH AND REMOVED SELECTIVE ITEMS UNK SUSP FLED LOC IN UNK DIR,BTFV
101420834,SUBJ 1 AND 2 APPROACHED VICT AND DEMANDED PROP SUBJ THREATENED VICT    WITH BODILY HARM,Robbery
120511234,UNK SUSP PRYED OPEN VICT'S WINDOW TO HOUSE. SUSP ENTERED REMOVED VICT'S PROP & FLED  1 DELL LAPTOP (LAUSD ON IT) 2 TOSHIBA LAPTOPS,BURG
121819768,SUSPS APPROACH VICT AND S1 POINTED A HANDGUN IN VICTIM DIRECTION SUSP  DEMANDED VICT PROP AND SUSPS FLED,Robbery
121910229,S APPROACHED V AND BEGAN TO ARGUE WITH V S HIT V WITH A CROW BAR AND A BASEBALL BAT S THEN FLED LOCATION V IS SAN FER GANG MEMBER,Robbery
112120814,UNK SUSP TOOK VICT PROP OFF TABLE AND FLED IN UNKNOWN DIRECTION,THEFT
110319243,UNK SUSP PRIED VICT VEH DOOR OPEN AND ATTEMPTED TO START VEH SUSP DID NOT STRT VEH AND FLED TO UNK LOC,Grand Theft Auto 
92100632,UNK SUSP USED ROCK TO SMASH VICTS FRNT WIND SUSP ENTERED VICTS RES AND REM VICTS PROP SUSP EXITED LOC VIA FRNT DOOR TO UNK LOC,BURG
92013333,SUSPS USED UNK TYPE TOOLS TO RMV FRONT WHEEL TO VICTS BIKE RMVD PROP AND FLED PREMISES IN UNK DIRECTION,THEFT
131425929,UNK SUSPS ENT VICTS LOCKED SECURED  VEHICLE AND REMOVED PROP NO SIGNS OF FORCED ENTRY,BTFV
91327685,S1 APPRO V AND BRANDISHED BLK HANDGUN AND DEMANDED MONEY S2 ACT AS A LOOKOUT V GAVE S MONEY,Robbery
90718019,SS APP V FR BEHIND AND GRABBD HER PURSE THEN HIT HER IN T HEAD S FLED  IN SUV,Robbery
91328266,S STRUCK V WITH A METAL POLE AND TOOK HIS PROP  SUSP FLED SB CENTAL ON FOOT AND WAS APPREHENDED BY PD,Robbery
100706490,S APPROACHED V APPROX 3 TO 4 TIMES AND STATED YOU BALD HEADED BITICH S REMOVED KNIFE FROM PERSON AND STATEDI WILL STAB YOU LUNGED TOWARDS VICT IN ATT,Aggravated Assault  
102105271,UNK SS WENT INTO VICT VEH BY ALREADY BROKEN WINDOW DAMAGED IGNITION COLUMN BY TRYING TO TAKE VEH,Grand Theft Auto 
90809358,UNK SUSPS APPR VS REAR WINDOW AND USED AN UNK HARD OBJ TO SMASH WINDOW SS REACHED INSIDE AND REMOVED VICTS PROP AND FLED SCENE TO UNK LOC,BTFV
121513275,SUSP SMASHED REAR WINDOW ENTERED AND REMOVED VICTS PROP  SUSPS FLEDVIAA POE IN UNK DIR,BURG
111012673,SUSPS ENTERED STORE AND TOOK MERCHANDISE,THEFT
131300810,S ENTERED BUSINESS AND POINTED RIFLE AT WIT S DEMANDED WIT TO GIVE HIM ALL THE MONEY S TOOK MONEY AND FLED IN VEH EB 69TH ST THEN SB MAIN ST,Robbery
110204155,S1 AND S2 APPROACHED V IN VEH S1 EXITED VEH AND SHOT ST V APPROX 3 TO 4TIMES STRIKING V ONCE S FLED LOC SB UNION AVE IN VEH,Aggravated Assault  
92116130,UNK S PRIED OPEN V REAR DOOR AND ENTD V LOC REMOVED JEWELEY FROM CASE UNK S FLED THE SCENE TO UNK LOC,BURG
90218845,S APPROACHED V AND DEMANDED PROP ONE S PRODUCED A KNIFE  V IN FEAR FOR LIFE RELEASED ALL HIS PROP TO S  V FLED LOC,Robbery
101220634,SUSPECTS APPROACHED VICT SUSP1 HELD VICT WHILE SUSPECT2 TOOK VICTS PROPERTY FROM HIS POCKETS SUSPECTS FLED TO AN UNKNOWN LOCATION,Robbery
140406220,UNK SUSP PUNCHED THE LOCK ON THE FRONT DRIVER SIDE DOOR OF THE VICTS   LOCKED SECURED VEHICLE  UNK SUSP THEN BROKE THE STEERING COLUMN OF VICTS VEH,Grand Theft Auto 
100310360,DURING A VERBAL DISPUTE SUSP USED AN ALUMINUM BAT TO STRIKE THE VICT ONHER RIGHT ARM CAUSING INJURY,Aggravated Assault  
140609790,SUSP ASKED TO USE VICS CELL PHONE VIC AGREED THEN S FLED WITH PHONE,THEFT
110801357,UNK SUSPS REMOVED VICTS REAR KITCHEN WINDOW ENTERED REMOVED VICTS PROP AND FLED THROUGH POE WITH VICTS PROP TO UNK LOCATION,BURG
130212890,S ENTERED V BUSINESS AND REMOVED V PROP S EXITED STORE WITHOUT PAYING  FOR PROPERTY,THEFT
131906068,SUSP INTENTIONALLY HIT VICTIMS LEG WITH HIS VEHICLE,Aggravated Assault  
101315553,SUSP ATTEMPTED TO CARJACK VICTIM.,Robbery
111820611,SUSP AND VICT INVOLVED IN A VERBAL ALTERCATION S GRABBED KITCHEN TO    MAKE VICT SHUT UP AND STOP THREATS V TRIED TO GRAB KNIFE AND DURING THE FIGHT,Aggravated Assault  
111213028,S1 POINTED A PISTOL AT V AND DEMANDED PROPERTY WHILE S2 POINTED A KNIFEAND V BACK,Robbery
130313875,UNK SUSP USED UNK TOOL TO PRY OPEN VICTS REAR DOOR MAKING UNLAWFUL ENTRY INTO VICTS HOME SUSP REMOVED MULTIPLE ITEMS AND FLED POE,BURG
141709355,S DOOR KNOCKED AND RANG DOOR BELL  WIT AND V DID NOT ANSWER  S WENT AROUND LOC AND SLID OPEN BATHROOM WINDOW  S ENTERED LOC  WIT CONFRONTED S  S FLED,BURG
90706496,SUSP ATTEMPTED TO ENTER LOCK AND SECURED RESID NO ENTRY MADE NO PROPERTY TAKEN,BURG
110815262,UNK SUSPS ENTERED RESID VIA UNLOCKED FRT DR WHILE VICT WAS HOME UNK SUSPS LT LOC W VICTS PROP AND IN UNK DIR,BURG
100806355,UNK SUSP ENTD VICTS LOC THROUGH SIDE UNLOCKED SIDE DOOR UNK SUSPS REMOVED VICTS PROPERTY AND FLED IN UNKNOWN DIRECTION,BURG
91504437,SUSP ENTERED HOTEL ROOM AND STATED IT WILL COST MONEY VICT REPLIED I DONOT DO ANYTHING WILL BREAK THE LAW SUSP POINTED HANDGUN AT VICT AND FLED,Aggravated Assault  
131912584,VICT VEH WAS STOLEN  WHEN OFFICERS RECOVERED VEH VICTS AMPLIFIER AND SPEAKERS WERE MISSING FROM THE VEH,Grand Theft Auto 
120518723,UNK S STOLE V VEH V ADVISED THAT HE KEPT FIREARM HIDDEN IN VEH,Grand Theft Auto 
91600707,UNK SUSP PRIED OPEN WINDOW TO GAIN ENTRY AND RMVD VIC PROP  UNK SUSP FLED,BURG
110304187,OBSERVED SUSP DRIVING A STOLEN VEHICLE WE CONDUCTED A HIGH RISK STOP AND TOOK SUSP INTO CUSTODY,Grand Theft Auto 
91015720,V LEFT HIS BIKE UNLOCKED ON THE 2ND FLOOR WALKWAY OF HIS APT BUILDING  UNK SUSP REMOVED VICTS BIKE,THEFT
111514892,SUSP ENTERED THE UNLOCKED REAR BEDROOM WINDOW OF VACANT LOCATION UNDER CONSTRUCTION AND TOOK VICTS PROP,BURG
130909028,UNK SUSP TOOK REGISTRATION STICKER FROM VICTIMS VEHICLE,BTFV
112116786,V WAS SHOPPING AND SHE PUT HER PURSE ON THE FLOOR V LOOKED DOWN TO GET HER PURSE SHE DISCOVERED IT WAS MISSING,THEFT
131718675,S ENTERED STORE AND CUT LOCKING DEVICE OF PROP CONCEALED PROP AND LEFT WITHOUT ATTEMPTING TO PAY FOR PROP,THEFT
102014062,UNK SUSP PRIED OPEN THE APT FRONT DOOR REMOVED VICTS PROP AND FLED LOC IN UNK DIRECTION,BURG
130908208,SUSPS APPROACHED VICT WHILE VICT WAS STANDING AGAINST A GATE  S1 SHOVEDVICT OFF HIS BIKE  SUSP TOOK VICT BIKE AND FLED EASTBOUND FROM THE LOC,Robbery
110707046,SUSP RAN UP TO VICTS S1 POINTED HANDGUN AT BOTH VICTS S2 TOOK VICTS    PROPERTY THEN FLED IN VEH,Robbery
111611445,UNK SUSP BROKE INTO VIC VEH BY UNK MEANS AND TOOK RADIO AND GASOLINE THEN FLED,BTFV
120621871,SUSP WALKED UP TO VIC AT BUS STOP STRUCK VIC ON RT SIDE OF FACE WITH CLENCHED FIST REACHED INTO VICS POCKET REMOVED PROPERTY,Robbery
142012372,SUSP OPENED VICTS LOCKED VEH DOOR THRU OPEN DRIVER SIDE WINDOW SUSP    ENTERED VICTS VEH AND ATTEMPTED TO START VEH AND STEAL IT,Grand Theft Auto 
120326081,UNK SUSP USED UNK OBJ TO SMASH RR BDRM WINDOW  UNK SUSP RMV VICT PROP BY UNK MEANS  UNK SUSP LFT BY UNK MEANS IN UNK DOT BY UNK MEANS,BURG
111904897,V WAS WALKING WB NORDHOFF WHEN S APPROACHED HIM AND DEMANDED HIS PHONE IN FEAR V COMPLIED S FLED LOC UNK GANG,Robbery
90404893,SUSP DEMANDS MONEY FROM VICT AND POINTS TOWARDS A SIMULATED HANDGUN AFTTELLING VICT HE WOULD PULL HIS GUN SHOOT VICT VICT HANDS OVER MONEYMONEY,Robbery
140614063,S REACHED FOR KNIFE IN WAISTBAND AS HE APPROACHED OFCR S CONTINUED TO STRUGGLE AS OFCRS ATTEMPTED TO TAKE HIM INTO CUSTODY,Aggravated Assault  
90207655,UNK SUSP SMASHED REAR WINDOW MADE ENTRY RANSACKED LOCATION AND REMOVED PROPERTY SUSP FLED VIA REAR EXIT DOOR WITH PROPERTY TOWARDS UNK LOCATION,BURG
101110671,UNK S ENTERED VICTS RESID THROUGH FRONT WINDOW AND TOOK PROP,BURG
130110739,UNKNOWN SUSPS ENTERED PARKING LOT AND STOLE WATER LINE PIPE CONNECTED TO BUSINESS,THEFT
120509689,SUSP. SYPHONED GAS FROM VICT'S VEH.,BTFV
131113387,SUSP TOLD VICT YOU GOT RobberyED   OUT OF FEAR SUSP MAY BE ARMED W WEAPON V GAVE SUSP PROP  SUSP THEN FLED ON FOOT TO UNK LOC,Robbery
120321226,UNK SUSPS USED AN UNK METAL OBJ TO PRY OPEN THE WEST FACING CLASSROOM DOOR TO ROOM 12 ONCE INSIDE UNK SUSP REMOVED THE ABOVE LISTED ITEMS FROM ROOM,BURG
111416180,VICT LOCKED AND SECURED VEH VICT RETURNED REAR WINDOW WAS BROKEN AND   PROP TAKEN,BTFV
91014379,VICT STATED BETWEEN ABOVE DATE AND TIME UNK SUSPS REMOVED VICTS        MEDICATION FROM A LOCKED CABINET VICT FUTHER DISCOVERED THE KEYS WERE ALSO MISS,THEFT
121820872,VICT WALK UP TO SUSPS AND ASK THEM WHERE THEY ARE FROM UNK SUSPS BEAT  UP VICT AND STAB VICT FOUR TIMES GANG STMT,Aggravated Assault  
91022185,UNK SUSP RMVD LAPTOP TOOLS GLASSES IPOD COMPRESSOR WATCH BATT CHGR FRM STLN REC VEH,Grand Theft Auto 
90515569,SUS ENTERED BUSN REMOVED PROP THEN EXITED WITHOUT PAYING,THEFT
110807860,S1 APPROACHED V AND POINTED A BLK UNK TYPE HANDGUN AND STATED GIVE ME  EVERYTHING S1 THEN GRABBED V PHONE N S2 GRABBED V COMPUTER BOTH S FLED IN VEH,Robbery
101904893,UNK SUSP SMASHED FRONT PASS WINDOW AND TOOK LISTED PROP  NO SUSP SEEN,BTFV
131816840,V WAS ATT TO PAY FOR FUEL AT LOC S SNATCHED US CURRENCY FROM SLOT AS V PLACED IT ON COUNTER AND FLED LOC VICT FLED N B OUT OF VICTS SIGHT,Robbery
101613599,VICT WAS WALKING WB SUSP APPROACHED VICT WITH GUN SUSP DEMANDED MONEY VIN FEAR SUSP TOOK VICT PROPERTY AND FLED EB TERRA BELLA TO SB HUNNENELL,Robbery
141417479,UNK SUSPS RMVD VICTS PROP FROM SAND,THEFT
90514921,S1 ASKED VICT TO GET RID OF HIS DOG VICT REFUSED S2 TOOK VICTS DOG TO UNK LOC,THEFT
102112511, UNK SUSPS GAINED ENTRY INTO VICTIMS TRUNK BY UNK MEANS REMOVED PROP   AND FLED LOC IN UNK DIR,BTFV
130317536,UNK SUSP BROKE VICTS SIDE BDRM WINDOW WITH UNK SHARP OBJ ENTERD VICTS RES AND RANSACKED RES UNK SUSP FLED VICTS RES VIA POE AND FLED TO UNK LOC,BURG
111007461,UNK SUSP APPROACHED VICT AND DEMANDED CELL PHONE VICT IN FEAR SAID NO SUSP THEN HIT VICT TO SIDE OF HEAD VICT FLED,Robbery
102117425,UNK S ENTERED V VEH BY SMASHING RIGHT FRONT PASS WINDOW  S REM V PROP  EXITING VIA POE,BTFV
102104898,SUSP PULLED VICT PURSE FR LT SHOULDER ATT TO SNATCH PURSE SUSP IDENTIFIED DURING FIELD ID SHOW UP,Robbery
101808773,SUSP WERE LET INTO VICT RESID BY LANDLORD AFTER TELLING HE VICT WAS AWAER SUSP REMVED VICT PROP AND FLED TO UNK LOC,BURG
101421105,VICT AND SUSP HAVE BEEN DTING FOR APPROX 7 MONTHS SUSP BECAME PSET AT VICT AND KICKED VICT IN CHEST AND SLAPPED VICT IN FACE,Aggravated Assault  
122112063,S REM DISPLAY PHONE FROM V BUSINESS EXITED WOUT PYMT,THEFT
102022639,SUSP APPROACHED VICT FROM REAR AND BEAR HUGGED VICT SUSP THEN HELD A   KNIFE AGAINST VICTS LEFT WAIST THEN DEMANDED MONEY,Robbery
120222400,SUSP RENTED A UHAUL TRUCK AND FAILED TO RETURN IT ON THE FOLLOWING DAY,Grand Theft Auto 
130117284,V TOLD SUSP TO LEAVE BUSINESS V ESCORTED S OUT S BECAME UPSET N PULLED OUT KNIFE S STEEPED TOWARDS V WITH KNIFE ON HAND SUSP WAS ARRESTED,Aggravated Assault  
101516930,VICT RETURNED TO RESIDENCE AND OBSERVED VEH IN DRIVEWAY AND SUSP ATTEMPTING TO ENTER FRONT DOOR  SUSP OBSERVED VICT AND FLED IN VEH,BURG
91412458,UNK SUSPS GAINED ACCESS TO VICTS VEHICLE POSSIBLY BY UNLOCKED DRVRS SIDE DOOR SUSPS REMOVED VICTS PROPERTY AND FLED IN UNKNOWN DIRECTION,BTFV
